NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
ALCANTILPB,AlcantilPB,Alcantil,PB,"2500536",-7.7411423,7° 44' 28.11'' S,-36.064903,36° 3' 53.65'' O,Campina Grande,Campina Grande
ALGODÃO DE JANDAÍRAPB,Algodão de JandaíraPB,Algodão de Jandaíra,PB,"2500577",-6.9024496,6° 54' 8.82'' S,-36.009647,36° 0' 34.73'' O,Campina Grande,Campina Grande
ALHANDRAPB,AlhandraPB,Alhandra,PB,"2500601",-7.432132,7° 25' 55.67'' S,-34.91025,34° 54' 36.91'' O,João Pessoa,João Pessoa
SÃO JOÃO DO RIO DO PEIXEPB,São João do Rio do PeixePB,São João do Rio do Peixe,PB,"2500700",-6.7324696,6° 43' 56.89'' S,-38.447987,38° 26' 52.76'' O,Sousa - Cajazeiras,Cajazeiras
AMPAROPB,AmparoPB,Amparo,PB,"2500734",-7.5673575,7° 34' 2.49'' S,-37.06305,37° 3' 46.97'' O,Campina Grande,Sumé
APARECIDAPB,AparecidaPB,Aparecida,PB,"2500775",-6.786305,6° 47' 10.7'' S,-38.08334,38° 5' 0.03'' O,Sousa - Cajazeiras,Sousa
ARAÇAGIPB,AraçagiPB,Araçagi,PB,"2500809",-6.852749,6° 51' 9.9'' S,-35.379623,35° 22' 46.64'' O,João Pessoa,Guarabira
ARARAPB,AraraPB,Arara,PB,"2500908",-6.8295836,6° 49' 46.5'' S,-35.758793,35° 45' 31.66'' O,João Pessoa,Guarabira
ARARUNAPB,ArarunaPB,Araruna,PB,"2501005",-6.534595,6° 32' 4.54'' S,-35.740948,35° 44' 27.41'' O,João Pessoa,Guarabira
AREIAPB,AreiaPB,Areia,PB,"2501104",-6.965362,6° 57' 55.3'' S,-35.702633,35° 42' 9.48'' O,Campina Grande,Campina Grande
AREIA DE BARAÚNASPB,Areia de BaraúnasPB,Areia de Baraúnas,PB,"2501153",-7.123779,7° 7' 25.6'' S,-36.94502,36° 56' 42.07'' O,Patos,Patos
AREIALPB,AreialPB,Areial,PB,"2501203",-7.0498896,7° 2' 59.6'' S,-35.925156,35° 55' 30.56'' O,Campina Grande,Campina Grande
AROEIRASPB,AroeirasPB,Aroeiras,PB,"2501302",-7.5472717,7° 32' 50.18'' S,-35.704693,35° 42' 16.9'' O,Campina Grande,Campina Grande
ASSUNÇÃOPB,AssunçãoPB,Assunção,PB,"2501351",-7.074999,7° 4' 30.0'' S,-36.731396,36° 43' 53.03'' O,Campina Grande,Campina Grande
