NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
BARROS CASSALRS,Barros CassalRS,Barros Cassal,RS,"4302006",-29.093,29° 5' 34.8'' S,-52.583,52° 34' 58.8'' O,Passo Fundo,Soledade
BENJAMIN CONSTANT DO SULRS,Benjamin Constant do SulRS,Benjamin Constant do Sul,RS,"4302055",-27.508583,27° 30' 30.9'' S,-52.602226,52° 36' 8.01'' O,Passo Fundo,Erechim
BENTO GONÇALVESRS,Bento GonçalvesRS,Bento Gonçalves,RS,"4302105",-29.155205,29° 9' 18.74'' S,-51.524334,51° 31' 27.6'' O,Caxias do Sul,Bento Gonçalves
BOA VISTA DAS MISSÕESRS,Boa Vista das MissõesRS,Boa Vista das Missões,RS,"4302154",-27.662832,27° 39' 46.19'' S,-53.315254,53° 18' 54.91'' O,Passo Fundo,Frederico Westphalen
BOA VISTA DO BURICÁRS,Boa Vista do BuricáRS,Boa Vista do Buricá,RS,"4302204",-27.668987,27° 40' 8.35'' S,-54.10998,54° 6' 35.93'' O,Ijuí,Três de Maio
BOA VISTA DO CADEADORS,Boa Vista do CadeadoRS,Boa Vista do Cadeado,RS,"4302220",-28.57804,28° 34' 40.94'' S,-53.813293,53° 48' 47.86'' O,Passo Fundo,Cruz Alta
BOA VISTA DO INCRARS,Boa Vista do IncraRS,Boa Vista do Incra,RS,"4302238",-28.818705,28° 49' 7.33'' S,-53.38664,53° 23' 11.9'' O,Passo Fundo,Cruz Alta
BOA VISTA DO SULRS,Boa Vista do SulRS,Boa Vista do Sul,RS,"4302253",-29.349524,29° 20' 58.28'' S,-51.676476,51° 40' 35.32'' O,Caxias do Sul,Bento Gonçalves
BOM JESUSRS,Bom JesusRS,Bom Jesus,RS,"4302303",-28.671886,28° 40' 18.79'' S,-50.43361,50° 26' 0.99'' O,Caxias do Sul,Vacaria
BOM PRINCÍPIORS,Bom PrincípioRS,Bom Princípio,RS,"4302352",-29.479593,29° 28' 46.53'' S,-51.353462,51° 21' 12.46'' O,Porto Alegre,Novo Hamburgo - São Leopoldo
BOM PROGRESSORS,Bom ProgressoRS,Bom Progresso,RS,"4302378",-27.55043,27° 33' 1.55'' S,-53.865284,53° 51' 55.03'' O,Ijuí,Três Passos
BOM RETIRO DO SULRS,Bom Retiro do SulRS,Bom Retiro do Sul,RS,"4302402",-29.597206,29° 35' 49.94'' S,-51.93752,51° 56' 15.07'' O,Santa Cruz do Sul - Lajeado,Lajeado
BOQUEIRÃO DO LEÃORS,Boqueirão do LeãoRS,Boqueirão do Leão,RS,"4302451",-29.301174,29° 18' 4.23'' S,-52.42998,52° 25' 47.93'' O,Santa Cruz do Sul - Lajeado,Lajeado
BOSSOROCARS,BossorocaRS,Bossoroca,RS,"4302501",-28.73,28° 43' 48.0'' S,-54.9,54° 53' 60.0'' O,Ijuí,São Luiz Gonzaga
BOZANORS,BozanoRS,Bozano,RS,"4302584",-28.367992,28° 22' 4.77'' S,-53.770695,53° 46' 14.5'' O,Ijuí,Ijuí
BRAGARS,BragaRS,Braga,RS,"4302600",-27.6176,27° 37' 3.35'' S,-53.74006,53° 44' 24.21'' O,Ijuí,Três Passos
BROCHIERRS,BrochierRS,Brochier,RS,"4302659",-29.552767,29° 33' 9.96'' S,-51.596386,51° 35' 46.99'' O,Porto Alegre,Montenegro
BUTIÁRS,ButiáRS,Butiá,RS,"4302709",-30.12,30° 7' 12.0'' S,-51.962,51° 57' 43.2'' O,Porto Alegre,Charqueadas - Triunfo - São Jerônimo
CAÇAPAVA DO SULRS,Caçapava do SulRS,Caçapava do Sul,RS,"4302808",-30.512,30° 30' 43.2'' S,-53.491,53° 29' 27.6'' O,Santa Maria,São Gabriel - Caçapava do Sul
CACEQUIRS,CacequiRS,Cacequi,RS,"4302907",-29.88396,29° 53' 2.26'' S,-54.824966,54° 49' 29.89'' O,Santa Maria,Santa Maria
CACHOEIRA DO SULRS,Cachoeira do SulRS,Cachoeira do Sul,RS,"4303004",-30.039,30° 2' 20.4'' S,-52.894,52° 53' 38.4'' O,Santa Maria,Cachoeira do Sul
CACHOEIRINHARS,CachoeirinhaRS,Cachoeirinha,RS,"4303103",-29.932476,29° 55' 56.91'' S,-51.077076,51° 4' 37.47'' O,Porto Alegre,Porto Alegre
CACIQUE DOBLERS,Cacique DobleRS,Cacique Doble,RS,"4303202",-27.769066,27° 46' 8.64'' S,-51.666782,51° 40' 0.42'' O,Passo Fundo,Lagoa Vermelha
CAIBATÉRS,CaibatéRS,Caibaté,RS,"4303301",-28.288,28° 17' 16.8'' S,-54.638,54° 38' 16.8'' O,Ijuí,São Luiz Gonzaga
CAIÇARARS,CaiçaraRS,Caiçara,RS,"4303400",-27.277111,27° 16' 37.6'' S,-53.430965,53° 25' 51.47'' O,Passo Fundo,Frederico Westphalen
CAMAQUÃRS,CamaquãRS,Camaquã,RS,"4303509",-30.855307,30° 51' 19.1'' S,-51.80909,51° 48' 32.73'' O,Porto Alegre,Camaquã
CAMARGORS,CamargoRS,Camargo,RS,"4303558",-28.587936,28° 35' 16.57'' S,-52.203922,52° 12' 14.12'' O,Passo Fundo,Marau
CAMBARÁ DO SULRS,Cambará do SulRS,Cambará do Sul,RS,"4303608",-29.047857,29° 2' 52.29'' S,-50.144928,50° 8' 41.74'' O,Caxias do Sul,Caxias do Sul
CAMPESTRE DA SERRARS,Campestre da SerraRS,Campestre da Serra,RS,"4303673",-28.796375,28° 47' 46.95'' S,-51.095127,51° 5' 42.46'' O,Caxias do Sul,Caxias do Sul
CAMPINA DAS MISSÕESRS,Campina das MissõesRS,Campina das Missões,RS,"4303707",-27.988977,27° 59' 20.32'' S,-54.838974,54° 50' 20.31'' O,Ijuí,Santa Rosa
CAMPINAS DO SULRS,Campinas do SulRS,Campinas do Sul,RS,"4303806",-27.717573,27° 43' 3.26'' S,-52.624626,52° 37' 28.66'' O,Passo Fundo,Erechim
CAMPO BOMRS,Campo BomRS,Campo Bom,RS,"4303905",-29.681139,29° 40' 52.1'' S,-51.052834,51° 3' 10.2'' O,Porto Alegre,Novo Hamburgo - São Leopoldo
CAMPO NOVORS,Campo NovoRS,Campo Novo,RS,"4304002",-27.676634,27° 40' 35.88'' S,-53.80664,53° 48' 23.91'' O,Ijuí,Três Passos
CAMPOS BORGESRS,Campos BorgesRS,Campos Borges,RS,"4304101",-28.886,28° 53' 9.6'' S,-52.999,52° 59' 56.4'' O,Passo Fundo,Passo Fundo
CANDELÁRIARS,CandeláriaRS,Candelária,RS,"4304200",-29.669,29° 40' 8.4'' S,-52.789,52° 47' 20.4'' O,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul
CÂNDIDO GODÓIRS,Cândido GodóiRS,Cândido Godói,RS,"4304309",-27.95203,27° 57' 7.31'' S,-54.75208,54° 45' 7.48'' O,Ijuí,Santa Rosa
CANDIOTARS,CandiotaRS,Candiota,RS,"4304358",-31.557924,31° 33' 28.53'' S,-53.672993,53° 40' 22.77'' O,Pelotas,Bagé
CANELARS,CanelaRS,Canela,RS,"4304408",-29.366026,29° 21' 57.69'' S,-50.815952,50° 48' 57.42'' O,Caxias do Sul,Caxias do Sul
CANGUÇURS,CanguçuRS,Canguçu,RS,"4304507",-31.394949,31° 23' 41.81'' S,-52.676003,52° 40' 33.61'' O,Pelotas,Pelotas
CANOASRS,CanoasRS,Canoas,RS,"4304606",-29.915747,29° 54' 56.69'' S,-51.182102,51° 10' 55.56'' O,Porto Alegre,Porto Alegre
CANUDOS DO VALERS,Canudos do ValeRS,Canudos do Vale,RS,"4304614",-29.32313,29° 19' 23.27'' S,-52.23772,52° 14' 15.79'' O,Santa Cruz do Sul - Lajeado,Lajeado
CAPÃO BONITO DO SULRS,Capão Bonito do SulRS,Capão Bonito do Sul,RS,"4304622",-28.129192,28° 7' 45.09'' S,-51.396374,51° 23' 46.94'' O,Passo Fundo,Lagoa Vermelha
CAPÃO DA CANOARS,Capão da CanoaRS,Capão da Canoa,RS,"4304630",-29.760939,29° 45' 39.38'' S,-50.030025,50° 1' 48.09'' O,Porto Alegre,Tramandaí - Osório
CAPÃO DO CIPÓRS,Capão do CipóRS,Capão do Cipó,RS,"4304655",-28.919626,28° 55' 10.65'' S,-54.556194,54° 33' 22.3'' O,Santa Maria,Santiago
CAPÃO DO LEÃORS,Capão do LeãoRS,Capão do Leão,RS,"4304663",-31.768614,31° 46' 7.01'' S,-52.50187,52° 30' 6.73'' O,Pelotas,Pelotas
CAPIVARI DO SULRS,Capivari do SulRS,Capivari do Sul,RS,"4304671",-30.145,30° 8' 42.0'' S,-50.515,50° 30' 54.0'' O,Porto Alegre,Porto Alegre
CAPELA DE SANTANARS,Capela de SantanaRS,Capela de Santana,RS,"4304689",-29.692022,29° 41' 31.28'' S,-51.31811,51° 19' 5.2'' O,Porto Alegre,Novo Hamburgo - São Leopoldo
CAPITÃORS,CapitãoRS,Capitão,RS,"4304697",-29.269,29° 16' 8.4'' S,-51.989,51° 59' 20.4'' O,Santa Cruz do Sul - Lajeado,Lajeado
CARAZINHORS,CarazinhoRS,Carazinho,RS,"4304705",-28.284,28° 17' 2.4'' S,-52.786,52° 47' 9.6'' O,Passo Fundo,Carazinho
CARAÁRS,CaraáRS,Caraá,RS,"4304713",-29.789928,29° 47' 23.74'' S,-50.43507,50° 26' 6.26'' O,Porto Alegre,Porto Alegre
CARLOS BARBOSARS,Carlos BarbosaRS,Carlos Barbosa,RS,"4304804",-29.298,29° 17' 52.8'' S,-51.504,51° 30' 14.4'' O,Caxias do Sul,Bento Gonçalves
CARLOS GOMESRS,Carlos GomesRS,Carlos Gomes,RS,"4304853",-27.716177,27° 42' 58.24'' S,-51.912125,51° 54' 43.64'' O,Passo Fundo,Erechim
CASCARS,CascaRS,Casca,RS,"4304903",-28.565815,28° 33' 56.94'' S,-51.977123,51° 58' 37.64'' O,Passo Fundo,Marau
CASEIROSRS,CaseirosRS,Caseiros,RS,"4304952",-28.271254,28° 16' 16.51'' S,-51.690674,51° 41' 26.42'' O,Passo Fundo,Lagoa Vermelha
CATUÍPERS,CatuípeRS,Catuípe,RS,"4305009",-28.25,28° 14' 60.0'' S,-54.012,54° 0' 43.2'' O,Ijuí,Ijuí
CAXIAS DO SULRS,Caxias do SulRS,Caxias do Sul,RS,"4305108",-29.149057,29° 8' 56.61'' S,-51.18585,51° 11' 9.05'' O,Caxias do Sul,Caxias do Sul
CENTENÁRIORS,CentenárioRS,Centenário,RS,"4305116",-27.76089,27° 45' 39.2'' S,-52.00097,52° 0' 3.49'' O,Passo Fundo,Erechim
CERRITORS,CerritoRS,Cerrito,RS,"4305124",-31.853333,31° 51' 12.0'' S,-52.812035,52° 48' 43.33'' O,Pelotas,Pelotas
CERRO BRANCORS,Cerro BrancoRS,Cerro Branco,RS,"4305132",-29.653893,29° 39' 14.02'' S,-52.942238,52° 56' 32.06'' O,Santa Maria,Cachoeira do Sul
CERRO GRANDERS,Cerro GrandeRS,Cerro Grande,RS,"4305157",-27.608656,27° 36' 31.16'' S,-53.165504,53° 9' 55.82'' O,Passo Fundo,Palmeira das Missões
CERRO GRANDE DO SULRS,Cerro Grande do SulRS,Cerro Grande do Sul,RS,"4305173",-30.596767,30° 35' 48.36'' S,-51.75073,51° 45' 2.62'' O,Porto Alegre,Camaquã
CERRO LARGORS,Cerro LargoRS,Cerro Largo,RS,"4305207",-28.149,28° 8' 56.4'' S,-54.738,54° 44' 16.8'' O,Ijuí,Cerro Largo
CHAPADARS,ChapadaRS,Chapada,RS,"4305306",-28.055,28° 3' 18.0'' S,-53.068,53° 4' 4.8'' O,Passo Fundo,Carazinho
CHARQUEADASRS,CharqueadasRS,Charqueadas,RS,"4305355",-29.968328,29° 58' 5.98'' S,-51.632015,51° 37' 55.25'' O,Porto Alegre,Charqueadas - Triunfo - São Jerônimo
CHARRUARS,CharruaRS,Charrua,RS,"4305371",-27.954536,27° 57' 16.33'' S,-52.015785,52° 0' 56.82'' O,Passo Fundo,Tapejara - Sananduva
CHIAPETTARS,ChiapettaRS,Chiapetta,RS,"4305405",-27.920462,27° 55' 13.66'' S,-53.94108,53° 56' 27.88'' O,Ijuí,Ijuí
CHUÍRS,ChuíRS,Chuí,RS,"4305439",-33.691,33° 41' 27.6'' S,-53.457,53° 27' 25.2'' O,Pelotas,Pelotas
CHUVISCARS,ChuviscaRS,Chuvisca,RS,"4305447",-30.757736,30° 45' 27.85'' S,-51.978813,51° 58' 43.73'' O,Porto Alegre,Camaquã
CIDREIRARS,CidreiraRS,Cidreira,RS,"4305454",-30.168127,30° 10' 5.25'' S,-50.201954,50° 12' 7.03'' O,Porto Alegre,Tramandaí - Osório
CIRÍACORS,CiríacoRS,Ciríaco,RS,"4305504",-28.343824,28° 20' 37.76'' S,-51.874817,51° 52' 29.34'' O,Passo Fundo,Marau
COLINASRS,ColinasRS,Colinas,RS,"4305587",-29.385838,29° 23' 9.01'' S,-51.868748,51° 52' 7.5'' O,Santa Cruz do Sul - Lajeado,Lajeado
COLORADORS,ColoradoRS,Colorado,RS,"4305603",-28.524,28° 31' 26.4'' S,-52.994,52° 59' 38.4'' O,Passo Fundo,Carazinho
CONDORRS,CondorRS,Condor,RS,"4305702",-28.208,28° 12' 28.8'' S,-53.487,53° 29' 13.2'' O,Ijuí,Ijuí
CONSTANTINARS,ConstantinaRS,Constantina,RS,"4305801",-27.733217,27° 43' 59.58'' S,-52.993996,52° 59' 38.39'' O,Passo Fundo,Carazinho
COQUEIRO BAIXORS,Coqueiro BaixoRS,Coqueiro Baixo,RS,"4305835",-29.178345,29° 10' 42.04'' S,-52.092705,52° 5' 33.74'' O,Santa Cruz do Sul - Lajeado,Lajeado
COQUEIROS DO SULRS,Coqueiros do SulRS,Coqueiros do Sul,RS,"4305850",-28.119,28° 7' 8.4'' S,-52.783,52° 46' 58.8'' O,Passo Fundo,Carazinho
CORONEL BARROSRS,Coronel BarrosRS,Coronel Barros,RS,"4305871",-28.383,28° 22' 58.8'' S,-54.066,54° 3' 57.6'' O,Ijuí,Ijuí
CORONEL BICACORS,Coronel BicacoRS,Coronel Bicaco,RS,"4305900",-27.717014,27° 43' 1.25'' S,-53.70799,53° 42' 28.76'' O,Ijuí,Ijuí
CORONEL PILARRS,Coronel PilarRS,Coronel Pilar,RS,"4305934",-29.271772,29° 16' 18.38'' S,-51.68328,51° 40' 59.81'' O,Caxias do Sul,Bento Gonçalves
COTIPORÃRS,CotiporãRS,Cotiporã,RS,"4305959",-28.994066,28° 59' 38.64'' S,-51.69697,51° 41' 49.09'' O,Caxias do Sul,Bento Gonçalves
COXILHARS,CoxilhaRS,Coxilha,RS,"4305975",-28.127056,28° 7' 37.4'' S,-52.29681,52° 17' 48.52'' O,Passo Fundo,Passo Fundo
CRISSIUMALRS,CrissiumalRS,Crissiumal,RS,"4306007",-27.499994,27° 29' 59.98'' S,-54.10097,54° 6' 3.49'' O,Ijuí,Três Passos
CRISTALRS,CristalRS,Cristal,RS,"4306056",-31.003002,31° 0' 10.8'' S,-52.049946,52° 2' 59.81'' O,Porto Alegre,Camaquã
CRISTAL DO SULRS,Cristal do SulRS,Cristal do Sul,RS,"4306072",-27.455275,27° 27' 18.99'' S,-53.248276,53° 14' 53.79'' O,Passo Fundo,Frederico Westphalen
CRUZ ALTARS,Cruz AltaRS,Cruz Alta,RS,"4306106",-28.639,28° 38' 20.4'' S,-53.606,53° 36' 21.6'' O,Passo Fundo,Cruz Alta
CRUZALTENSERS,CruzaltenseRS,Cruzaltense,RS,"4306130",-27.667318,27° 40' 2.35'' S,-52.6488,52° 38' 55.68'' O,Passo Fundo,Erechim
CRUZEIRO DO SULRS,Cruzeiro do SulRS,Cruzeiro do Sul,RS,"4306205",-29.513,29° 30' 46.8'' S,-51.985,51° 59' 6.0'' O,Santa Cruz do Sul - Lajeado,Lajeado
DAVID CANABARRORS,David CanabarroRS,David Canabarro,RS,"4306304",-28.388523,28° 23' 18.68'' S,-51.847,51° 50' 49.19'' O,Passo Fundo,Marau
DERRUBADASRS,DerrubadasRS,Derrubadas,RS,"4306320",-27.265417,27° 15' 55.5'' S,-53.861748,53° 51' 42.29'' O,Ijuí,Três Passos
DEZESSEIS DE NOVEMBRORS,Dezesseis de NovembroRS,Dezesseis de Novembro,RS,"4306353",-28.22517,28° 13' 30.61'' S,-55.04831,55° 2' 53.92'' O,Ijuí,São Luiz Gonzaga
DILERMANDO DE AGUIARRS,Dilermando de AguiarRS,Dilermando de Aguiar,RS,"4306379",-29.70587,29° 42' 21.13'' S,-54.20802,54° 12' 28.87'' O,Santa Maria,Santa Maria
DOIS IRMÃOSRS,Dois IrmãosRS,Dois Irmãos,RS,"4306403",-29.582499,29° 34' 56.99'' S,-51.096294,51° 5' 46.65'' O,Porto Alegre,Novo Hamburgo - São Leopoldo
DOIS IRMÃOS DAS MISSÕESRS,Dois Irmãos das MissõesRS,Dois Irmãos das Missões,RS,"4306429",-27.65779,27° 39' 28.04'' S,-53.53177,53° 31' 54.36'' O,Passo Fundo,Palmeira das Missões
DOIS LAJEADOSRS,Dois LajeadosRS,Dois Lajeados,RS,"4306452",-28.985882,28° 59' 9.18'' S,-51.837524,51° 50' 15.09'' O,Caxias do Sul,Nova Prata - Guaporé
DOM FELICIANORS,Dom FelicianoRS,Dom Feliciano,RS,"4306502",-30.705578,30° 42' 20.08'' S,-52.107464,52° 6' 26.87'' O,Porto Alegre,Camaquã
DOM PEDRO DE ALCÂNTARARS,Dom Pedro de AlcântaraRS,Dom Pedro de Alcântara,RS,"4306551",-29.3695,29° 22' 10.2'' S,-49.849754,49° 50' 59.12'' O,Porto Alegre,Torres
DOM PEDRITORS,Dom PedritoRS,Dom Pedrito,RS,"4306601",-30.983,30° 58' 58.8'' S,-54.673,54° 40' 22.8'' O,Pelotas,Bagé
DONA FRANCISCARS,Dona FranciscaRS,Dona Francisca,RS,"4306700",-29.622,29° 37' 19.2'' S,-53.357,53° 21' 25.2'' O,Santa Maria,Santa Maria
DOUTOR MAURÍCIO CARDOSORS,Doutor Maurício CardosoRS,Doutor Maurício Cardoso,RS,"4306734",-27.50592,27° 30' 21.31'' S,-54.361065,54° 21' 39.83'' O,Ijuí,Três de Maio
DOUTOR RICARDORS,Doutor RicardoRS,Doutor Ricardo,RS,"4306759",-29.086,29° 5' 9.6'' S,-51.992,51° 59' 31.2'' O,Santa Cruz do Sul - Lajeado,Encantado
ELDORADO DO SULRS,Eldorado do SulRS,Eldorado do Sul,RS,"4306767",-29.999292,29° 59' 57.45'' S,-51.310417,51° 18' 37.51'' O,Porto Alegre,Porto Alegre
ENCANTADORS,EncantadoRS,Encantado,RS,"4306809",-29.238897,29° 14' 20.03'' S,-51.87376,51° 52' 25.53'' O,Santa Cruz do Sul - Lajeado,Encantado
ENCRUZILHADA DO SULRS,Encruzilhada do SulRS,Encruzilhada do Sul,RS,"4306908",-30.544,30° 32' 38.4'' S,-52.522,52° 31' 19.2'' O,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul
ENGENHO VELHORS,Engenho VelhoRS,Engenho Velho,RS,"4306924",-27.70857,27° 42' 30.85'' S,-52.912228,52° 54' 44.02'' O,Passo Fundo,Carazinho
ENTRE-IJUÍSRS,Entre-IjuísRS,Entre-Ijuís,RS,"4306932",-28.36,28° 21' 36.0'' S,-54.268,54° 16' 4.8'' O,Ijuí,Santo Ângelo
ENTRE RIOS DO SULRS,Entre Rios do SulRS,Entre Rios do Sul,RS,"4306957",-27.530804,27° 31' 50.89'' S,-52.73113,52° 43' 52.07'' O,Passo Fundo,Erechim
EREBANGORS,ErebangoRS,Erebango,RS,"4306973",-27.854342,27° 51' 15.63'' S,-52.303577,52° 18' 12.88'' O,Passo Fundo,Erechim
ERECHIMRS,ErechimRS,Erechim,RS,"4307005",-27.642878,27° 38' 34.36'' S,-52.270767,52° 16' 14.76'' O,Passo Fundo,Erechim
ERNESTINARS,ErnestinaRS,Ernestina,RS,"4307054",-28.499,28° 29' 56.4'' S,-52.573,52° 34' 22.8'' O,Passo Fundo,Passo Fundo
HERVALRS,HervalRS,Herval,RS,"4307104",-32.024,32° 1' 26.4'' S,-53.396,53° 23' 45.6'' O,Pelotas,Pelotas
ERVAL GRANDERS,Erval GrandeRS,Erval Grande,RS,"4307203",-27.392202,27° 23' 31.93'' S,-52.569332,52° 34' 9.59'' O,Passo Fundo,Erechim
ERVAL SECORS,Erval SecoRS,Erval Seco,RS,"4307302",-27.549877,27° 32' 59.56'' S,-53.508316,53° 30' 29.94'' O,Passo Fundo,Frederico Westphalen
ESMERALDARS,EsmeraldaRS,Esmeralda,RS,"4307401",-28.057034,28° 3' 25.32'' S,-51.18944,51° 11' 21.99'' O,Caxias do Sul,Vacaria
ESPERANÇA DO SULRS,Esperança do SulRS,Esperança do Sul,RS,"4307450",-27.3636,27° 21' 48.96'' S,-53.98899,53° 59' 20.37'' O,Ijuí,Três Passos
ESPUMOSORS,EspumosoRS,Espumoso,RS,"4307500",-28.725,28° 43' 30.0'' S,-52.85,52° 50' 60.0'' O,Passo Fundo,Passo Fundo
ESTAÇÃORS,EstaçãoRS,Estação,RS,"4307559",-27.913889,27° 54' 50.0'' S,-52.2598,52° 15' 35.28'' O,Passo Fundo,Erechim
ESTÂNCIA VELHARS,Estância VelhaRS,Estância Velha,RS,"4307609",-29.654314,29° 39' 15.53'' S,-51.172203,51° 10' 19.93'' O,Porto Alegre,Novo Hamburgo - São Leopoldo
ESTEIORS,EsteioRS,Esteio,RS,"4307708",-29.85094,29° 51' 3.39'' S,-51.179626,51° 10' 46.66'' O,Porto Alegre,Porto Alegre
ESTRELARS,EstrelaRS,Estrela,RS,"4307807",-29.48883,29° 29' 19.79'' S,-51.953175,51° 57' 11.43'' O,Santa Cruz do Sul - Lajeado,Lajeado
ESTRELA VELHARS,Estrela VelhaRS,Estrela Velha,RS,"4307815",-29.177,29° 10' 37.2'' S,-53.159,53° 9' 32.4'' O,Santa Cruz do Sul - Lajeado,Sobradinho
EUGÊNIO DE CASTRORS,Eugênio de CastroRS,Eugênio de Castro,RS,"4307831",-28.525,28° 31' 30.0'' S,-54.149,54° 8' 56.4'' O,Ijuí,Santo Ângelo
FAGUNDES VARELARS,Fagundes VarelaRS,Fagundes Varela,RS,"4307864",-28.882,28° 52' 55.2'' S,-51.702488,51° 42' 8.96'' O,Caxias do Sul,Bento Gonçalves
FARROUPILHARS,FarroupilhaRS,Farroupilha,RS,"4307906",-29.221178,29° 13' 16.24'' S,-51.33192,51° 19' 54.91'' O,Caxias do Sul,Caxias do Sul
FAXINAL DO SOTURNORS,Faxinal do SoturnoRS,Faxinal do Soturno,RS,"4308003",-29.575,29° 34' 30.0'' S,-53.445,53° 26' 42.0'' O,Santa Maria,Santa Maria
FAXINALZINHORS,FaxinalzinhoRS,Faxinalzinho,RS,"4308052",-27.4239,27° 25' 26.04'' S,-52.673573,52° 40' 24.86'' O,Passo Fundo,Erechim
FAZENDA VILANOVARS,Fazenda VilanovaRS,Fazenda Vilanova,RS,"4308078",-29.590902,29° 35' 27.25'' S,-51.823807,51° 49' 25.71'' O,Santa Cruz do Sul - Lajeado,Lajeado
FELIZRS,FelizRS,Feliz,RS,"4308102",-29.451,29° 27' 3.6'' S,-51.306,51° 18' 21.6'' O,Caxias do Sul,Caxias do Sul
FLORES DA CUNHARS,Flores da CunhaRS,Flores da Cunha,RS,"4308201",-29.028889,29° 1' 44.0'' S,-51.181667,51° 10' 54.0'' O,Caxias do Sul,Caxias do Sul
FLORIANO PEIXOTORS,Floriano PeixotoRS,Floriano Peixoto,RS,"4308250",-27.860556,27° 51' 38.0'' S,-52.084824,52° 5' 5.37'' O,Passo Fundo,Erechim
FONTOURA XAVIERRS,Fontoura XavierRS,Fontoura Xavier,RS,"4308300",-28.983013,28° 58' 58.85'' S,-52.350212,52° 21' 0.76'' O,Passo Fundo,Soledade
FORMIGUEIRORS,FormigueiroRS,Formigueiro,RS,"4308409",-30.001396,30° 0' 5.02'' S,-53.502953,53° 30' 10.63'' O,Santa Maria,Santa Maria
FORQUETINHARS,ForquetinhaRS,Forquetinha,RS,"4308433",-29.381863,29° 22' 54.7'' S,-52.091267,52° 5' 28.56'' O,Santa Cruz do Sul - Lajeado,Lajeado
FORTALEZA DOS VALOSRS,Fortaleza dos ValosRS,Fortaleza dos Valos,RS,"4308458",-28.797,28° 47' 49.2'' S,-53.223,53° 13' 22.8'' O,Passo Fundo,Cruz Alta
FREDERICO WESTPHALENRS,Frederico WestphalenRS,Frederico Westphalen,RS,"4308508",-27.35831,27° 21' 29.92'' S,-53.395065,53° 23' 42.24'' O,Passo Fundo,Frederico Westphalen
GARIBALDIRS,GaribaldiRS,Garibaldi,RS,"4308607",-29.256777,29° 15' 24.39'' S,-51.52042,51° 31' 13.51'' O,Caxias do Sul,Bento Gonçalves
GARRUCHOSRS,GarruchosRS,Garruchos,RS,"4308656",-28.184,28° 11' 2.4'' S,-55.639,55° 38' 20.4'' O,Ijuí,São Luiz Gonzaga
GAURAMARS,GauramaRS,Gaurama,RS,"4308706",-27.587666,27° 35' 15.59'' S,-52.102413,52° 6' 8.69'' O,Passo Fundo,Erechim
GENERAL CÂMARARS,General CâmaraRS,General Câmara,RS,"4308805",-29.905,29° 54' 18.0'' S,-51.76,51° 45' 36.0'' O,Porto Alegre,Charqueadas - Triunfo - São Jerônimo
GENTILRS,GentilRS,Gentil,RS,"4308854",-28.43264,28° 25' 57.51'' S,-52.03533,52° 2' 7.2'' O,Passo Fundo,Marau
GETÚLIO VARGASRS,Getúlio VargasRS,Getúlio Vargas,RS,"4308904",-27.888685,27° 53' 19.27'' S,-52.229866,52° 13' 47.52'' O,Passo Fundo,Erechim
GIRUÁRS,GiruáRS,Giruá,RS,"4309001",-28.028,28° 1' 40.8'' S,-54.35,54° 20' 60.0'' O,Ijuí,Santo Ângelo
GLORINHARS,GlorinhaRS,Glorinha,RS,"4309050",-29.880262,29° 52' 48.95'' S,-50.7832,50° 46' 59.52'' O,Porto Alegre,Porto Alegre
GRAMADORS,GramadoRS,Gramado,RS,"4309100",-29.379,29° 22' 44.4'' S,-50.87405,50° 52' 26.58'' O,Caxias do Sul,Caxias do Sul
GRAMADO DOS LOUREIROSRS,Gramado dos LoureirosRS,Gramado dos Loureiros,RS,"4309126",-27.444292,27° 26' 39.45'' S,-52.91822,52° 55' 5.59'' O,Passo Fundo,Nonoai
GRAMADO XAVIERRS,Gramado XavierRS,Gramado Xavier,RS,"4309159",-29.268,29° 16' 4.8'' S,-52.579,52° 34' 44.4'' O,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul
GRAVATAÍRS,GravataíRS,Gravataí,RS,"4309209",-29.936195,29° 56' 10.3'' S,-51.016716,51° 1' 0.18'' O,Porto Alegre,Porto Alegre
GUABIJURS,GuabijuRS,Guabiju,RS,"4309258",-28.539509,28° 32' 22.24'' S,-51.690895,51° 41' 27.22'' O,Caxias do Sul,Nova Prata - Guaporé
GUAÍBARS,GuaíbaRS,Guaíba,RS,"4309308",-30.114,30° 6' 50.4'' S,-51.325,51° 19' 30.0'' O,Porto Alegre,Porto Alegre
GUAPORÉRS,GuaporéRS,Guaporé,RS,"4309407",-28.848486,28° 50' 54.55'' S,-51.88917,51° 53' 21.02'' O,Caxias do Sul,Nova Prata - Guaporé
GUARANI DAS MISSÕESRS,Guarani das MissõesRS,Guarani das Missões,RS,"4309506",-28.141,28° 8' 27.6'' S,-54.558,54° 33' 28.8'' O,Ijuí,Santo Ângelo
HARMONIARS,HarmoniaRS,Harmonia,RS,"4309555",-29.551216,29° 33' 4.38'' S,-51.42026,51° 25' 12.94'' O,Porto Alegre,Novo Hamburgo - São Leopoldo
